Date,Close,Open,High,Low,Vol.
2011-03-30,963.3,966.9,966.9,962.2,0.0
2011-03-31,961.8,964.2,967.5,958.5,0.0
2011-04-01,973.3,960.2,974.2,960.2,0.0
2011-04-04,974.5,971.5,977.4,969.4,0.0
2011-04-05,972.9,975.1,975.4,969.8,0.0
2011-04-06,978.4,976.5,981.0,973.1,0.0
2011-04-07,972.9,978.7,980.4,972.9,0.0
2011-04-08,980.7,978.8,982.5,977.8,0.0
2011-04-11,980.4,980.5,983.3,978.7,0.0
2011-04-12,966.0,975.8,976.2,964.8,0.0
2011-04-13,973.4,970.3,978.8,969.0,0.0
2011-04-14,965.8,970.8,971.0,962.4,0.0
2011-04-15,971.1,968.1,971.3,965.6,0.0
2011-04-18,950.7,970.5,970.9,948.5,0.0
2011-04-19,955.0,956.0,959.0,953.9,0.0
2011-04-20,975.3,964.2,977.3,964.2,0.0
2011-04-21,974.7,980.4,980.4,973.0,0.0
2011-04-26,982.9,972.7,983.5,972.6,0.0
2011-04-27,982.7,982.4,986.4,979.0,0.0
2011-04-28,983.0,985.6,986.2,979.8,0.0
2011-05-03,985.1,987.1,988.4,979.8,0.0
2011-05-04,969.1,979.6,983.8,967.2,0.0
2011-05-05,958.7,972.2,973.2,957.3,0.0
2011-05-06,967.9,958.5,969.5,950.7,0.0
2011-05-09,962.4,963.0,971.6,958.8,0.0
2011-05-10,974.8,963.7,975.5,963.3,0.0
2011-05-11,967.8,976.8,978.2,965.7,0.0
2011-05-12,962.8,959.6,962.8,952.2,0.0
2011-05-13,959.7,966.5,971.7,958.2,0.0
2011-05-16,959.3,955.9,961.2,948.9,0.0
2011-05-17,949.2,954.6,962.4,949.2,0.0
2011-05-18,959.3,956.6,961.0,953.3,0.0
2011-05-19,964.6,965.2,972.4,961.2,0.0
2011-05-20,963.4,966.7,974.7,959.8,0.0
2011-05-23,945.1,950.7,951.3,944.5,0.0
2011-05-24,948.8,946.3,953.0,946.2,0.0
2011-05-25,950.7,941.0,952.5,940.9,0.0
2011-05-26,952.4,953.6,957.5,950.1,0.0
2011-05-27,961.8,959.6,963.9,958.2,0.0
