,Date,US30_relative_change_perc_1,US30_F_relative_change_perc_1,Gold_F_relative_change_perc_1,Silver_F_relative_change_perc_1,Copper_F_relative_change_perc_1,USDHKD_relative_change_perc_1,US30_AD_oscillator,US30_momentum_4,US30_momentum_16,US30_stochastic_K_5,US30_stochastic_K_10,US30_stochastic_K_20,US30_stochastic_K_50,US30_stochastic_D_5_5,US30_williams_R_5,US30_williams_R_10,US30_williams_R_20,US30_williams_R_50
233,2010-06-04,-0.03099044744141496,-0.030986575085857043,0.0071215634315999815,-0.028651685393258512,-0.04967894558972634,0.00038503497401015386,-0.015535977321364403,-204.65999999999985,-964.9400000000003,0.09895845578727143,0.2912544153274276,0.13745101632934453,0.10615895869985756,0.6252961402579615,1.1359455670667078,1.355849006269179,0.938275882550935,15.313521307273305
234,2010-06-07,-0.011605205527726757,-0.011609174570571224,0.0154867256637167,0.03909559244419003,0.005100182149362401,0.0014244283037753622,0.2929451417945135,-207.5300000000006,-966.4600000000011,0.01225961062367652,0.07769126921014231,0.03666465931802528,0.028317593847108045,0.4798472210856296,2.7236890808143075,1.3658431947374048,2.2570363135931757,9.390634017643736
235,2010-06-08,0.012946171076150374,0.01295233824863194,0.002013693113169553,0.01166803615447828,0.006901561932437226,7.688857563918473e-05,0.6994543878435555,-309.5600000000013,-680.1800000000002,0.3271348133271175,0.3271348133271175,0.15689933947984047,0.12158271463417895,0.4433628875001341,1.3615907645648877,1.7839849728676824,1.9931201852429123,10.42926304464778
236,2010-06-09,-0.004256872908403774,-0.004254848314154773,-0.0068714632174616,-0.006557377049180382,0.02859211002533485,-0.00024348985031781998,0.6340104351349979,-356.0300000000006,-726.5799999999998,0.2540974787504945,0.2540974787504945,0.12186940966010786,0.09443770577023088,0.3035942990180808,1.5527317265211549,0.565533811546764,5.1558997673926426,15.092567868268823
237,2010-06-10,0.02735498153341816,0.0273488390882373,-0.00973393900064893,0.015614617940199338,0.004926108374384164,-0.0011792150529364859,1.008516328828829,240.5600000000013,-338.42000000000013,0.8432153452269686,0.7441451780654906,0.3569044997935883,0.2765685189875112,0.3071331407431057,1.0177616092445951,0.028716589352772208,4.4123285209369065,10.460416950538283
238,2010-06-11,0.004356344880089768,0.004357319904001367,0.007708077080770881,0.0012087912087913198,-0.010238907849829436,-0.00028232274623037556,0.3260298641854789,394.57999999999987,-233.30000000000112,0.9892895316624132,0.8132553885880296,0.4432369038311182,0.3022539754475295,0.4851993559181341,0.10733442650287836,0.1816596574007618,4.773186162336796,9.33570183670732
239,2010-06-14,-0.0020505629255481643,-0.0020466519124933548,-0.00560884409039188,0.0,0.004029550033579587,0.0001925545571245259,0.8254948757545949,250.90999999999985,122.8799999999992,0.7587547275528778,0.7587547275528778,0.4507807054956253,0.28880476653826154,0.6344983793039743,-1.2117038586703877,0.4140037014188799,2.4224229979466143,7.726079935405737
240,2010-06-15,0.020836113182371257,0.020839056551940627,0.00867004743988233,-0.00032301480484504304,0.006706908115358676,-7.700798316096952e-05,1.0069933308632837,505.52000000000055,211.38000000000102,0.9934331008712716,0.9945449237057652,0.6732687686594337,0.4313477200325239,0.7677580368128052,-2.30029065320483,-0.9119992173360086,1.1391223155928998,9.101107817132123
241,2010-06-16,0.0005017185301376502,0.0005094096614827926,-0.0021915584415584787,-0.006361185983827415,0.006724949562878284,0.0002567427052978574,0.2515814580524748,236.92999999999847,342.8899999999994,0.9628906249999972,0.970855423839874,0.8522033543799088,0.4344734281487007,0.9095166660627056,-1.7441872245580263,-0.6790604085560589,1.307360770725943,9.65452723020401
242,2010-06-17,0.002323731649820702,0.002324687800192193,0.011021962881919044,0.0051955008034278395,-0.01627118644067798,-0.0011037102632221133,0.2602065912444765,223.10000000000042,390.42000000000013,0.9803899690367914,0.9897169604329692,0.9897169604329692,0.450941711208563,0.9369515908246704,-0.8739442567567577,-0.8485626649547191,0.44652784797331496,4.508915621534031
243,2010-06-18,0.0014988021082893552,0.0014949688548155596,0.007614009777991504,-0.0002606882168925446,0.0034831069313827193,-6.424423086803245e-05,0.8357930449533474,259.75,476.1899999999987,0.8896477475355753,0.9548140902891608,0.9548140902891608,0.4619183450408539,0.9170232339993026,-1.7607863735274187,-0.5584892026347188,-0.02782446311858165,4.737532060416064
244,2010-06-21,-0.0009614961454049355,-0.000966276010523833,-0.014076666136472118,0.0,-0.026498840675720458,0.0002703433360367083,0.7226222244599971,37.639999999999425,183.42000000000007,0.6222869374751098,0.8186132128470854,0.8186132128470854,0.456433360436133,0.8897296759837491,-0.7983995507510812,-2.6733496048349648,-0.8719030424368037,7.54212800432087
245,2010-06-22,-0.01421477789110274,-0.014221413522313731,0.0003227107704720379,-0.0007403490216816152,0.01081812035158892,0.0010296672887573214,0.243421991720987,-115.93999999999869,156.89000000000127,0.03256532372248936,0.5861404402351235,0.6406449839232149,0.35720379083747705,0.6975561205539926,0.5316783994071843,-1.733006985875272,-0.6755948239877607,19.60197018104298
246,2010-06-23,0.0004993539486851872,0.0004954679257381368,-0.004918561522335217,-0.002486486486486453,-0.006770480704129999,0.00011573776394635922,0.5292613636363627,-135.72999999999956,274.4200000000001,0.1940477488280844,0.5729613424020572,0.6465258603172337,0.3604827852791817,0.54378754531961,1.354246603754016,-1.1818043665467872,-0.8245003133922991,8.123752057048849
247,2010-06-24,-0.014011739250350649,-0.01401365432985997,0.007360077644775079,0.002730192719485995,0.012474713418745759,-5.142776327799997e-05,-0.002245730157798124,-297.8400000000001,-96.7400000000016,0.0514710623025487,0.1370417440610031,0.4724423566536376,0.2634192181064472,0.3580037639727615,2.3643220200032644,0.11623733108108344,0.11588248288050075,9.29744717468208
248,2010-06-25,-0.000952382828350484,-0.0009553355985621437,0.0072992700729926285,0.0,0.03791946308724832,-8.9995114550943e-05,0.4113108429779251,-298.60000000000036,-111.47000000000116,0.12226163561237932,0.12226163561237932,0.4616966089336728,0.25742772216520265,0.2045265415881223,5.761323155216231,0.5415322278082076,0.4116319622525413,17.322022279349188
249,2010-06-28,-0.00044661122640614375,-0.0004436557231588288,-0.012993224392188087,0.0,-0.00936390054891828,0.0004885700326570529,0.5781933943493887,-155.0,206.55000000000112,0.1392518606511686,0.11195135261557752,0.4553734715100237,0.25390213667808603,0.10791952622333406,2.2941443029051816,1.3347606345640768,0.737075879086979,5.644465447267447
250,2010-06-29,-0.02618659552552755,-0.02618467397417065,0.002097789252864216,-0.007261078483715922,-0.05170731707317081,0.0005397763783575351,-0.008398172162532948,-428.14000000000124,53.8099999999995,0.1049773430194906,0.0746318265493956,0.13477008402959553,0.07514362262239575,0.12240193008273433,2.965551696245897,2.491756206002224,1.7024409333268118,10.42997020008524
