"Date","Price","Open","High","Low","Change %"
"May 04, 2021","1.3885","1.3911","1.3916","1.3837","-0.17%"
"May 03, 2021","1.3909","1.3827","1.3932","1.3800","0.69%"
"Apr 30, 2021","1.3814","1.3942","1.3959","1.3801","-0.90%"
"Apr 29, 2021","1.3940","1.3938","1.3978","1.3931","0.06%"
"Apr 28, 2021","1.3932","1.3916","1.3951","1.3860","0.14%"
"Apr 27, 2021","1.3912","1.3898","1.3924","1.3858","0.12%"
"Apr 26, 2021","1.3896","1.3873","1.3930","1.3864","0.16%"
"Apr 23, 2021","1.3874","1.3838","1.3896","1.3834","0.27%"
"Apr 22, 2021","1.3836","1.3931","1.3951","1.3823","-0.67%"
"Apr 21, 2021","1.3929","1.3937","1.3951","1.3886","-0.05%"
"Apr 20, 2021","1.3936","1.3987","1.4010","1.3925","-0.34%"
"Apr 19, 2021","1.3983","1.3827","1.3994","1.3809","1.11%"
"Apr 16, 2021","1.3830","1.3784","1.3844","1.3716","0.32%"
"Apr 15, 2021","1.3786","1.3780","1.3809","1.3762","0.06%"
"Apr 14, 2021","1.3778","1.3749","1.3809","1.3748","0.22%"
"Apr 13, 2021","1.3748","1.3740","1.3770","1.3694","0.06%"
"Apr 12, 2021","1.3740","1.3710","1.3778","1.3669","0.23%"
"Apr 09, 2021","1.3708","1.3734","1.3751","1.3670","-0.18%"
"Apr 08, 2021","1.3733","1.3736","1.3783","1.3719","-0.01%"
"Apr 07, 2021","1.3734","1.3825","1.3841","1.3723","-0.64%"
"Apr 06, 2021","1.3823","1.3902","1.3920","1.3801","-0.53%"
"Apr 05, 2021","1.3897","1.3827","1.3915","1.3813","0.49%"
"Apr 02, 2021","1.3829","1.3833","1.3854","1.3813","-0.01%"
"Apr 01, 2021","1.3830","1.3781","1.3837","1.3745","0.37%"
"Mar 31, 2021","1.3779","1.3740","1.3813","1.3715","0.29%"
"Mar 30, 2021","1.3739","1.3763","1.3785","1.3706","-0.15%"
"Mar 29, 2021","1.3759","1.3793","1.3848","1.3756","-0.20%"
"Mar 26, 2021","1.3787","1.3731","1.3814","1.3728","0.40%"
"Mar 25, 2021","1.3732","1.3687","1.3747","1.3670","0.36%"
"Mar 24, 2021","1.3683","1.3752","1.3762","1.3673","-0.49%"
"Mar 23, 2021","1.3750","1.3863","1.3868","1.3740","-0.82%"
"Mar 22, 2021","1.3863","1.3866","1.3878","1.3817","-0.04%"
"Mar 19, 2021","1.3868","1.3924","1.3959","1.3830","-0.37%"
"Mar 18, 2021","1.3920","1.3968","1.4002","1.3896","-0.31%"
"Mar 17, 2021","1.3963","1.3890","1.3972","1.3851","0.55%"
