"Date","Price","Open","High","Low","Change %"
"Apr 14, 2009","7.7506","7.7502","7.7509","7.7489","0.00%"
"Apr 13, 2009","7.7505","7.7501","7.7513","7.7488","0.00%"
"Apr 10, 2009","7.7504","7.7498","7.7515","7.7488","0.01%"
"Apr 09, 2009","7.7500","7.7495","7.7521","7.7487","-0.00%"
"Apr 08, 2009","7.7501","7.7497","7.7515","7.7489","0.00%"
"Apr 07, 2009","7.7501","7.7499","7.7518","7.7490","-0.00%"
"Apr 06, 2009","7.7502","7.7495","7.7524","7.7486","0.00%"
"Apr 03, 2009","7.7502","7.7495","7.7508","7.7486","0.00%"
"Apr 02, 2009","7.7501","7.7495","7.7508","7.7486","0.00%"
"Apr 01, 2009","7.7500","7.7495","7.7515","7.7486","-0.01%"
"Mar 31, 2009","7.7504","7.7495","7.7510","7.7486","0.00%"
"Mar 30, 2009","7.7501","7.7495","7.7508","7.7486","-0.00%"
"Mar 27, 2009","7.7502","7.7498","7.7512","7.7486","0.00%"
"Mar 26, 2009","7.7501","7.7495","7.7505","7.7486","-0.00%"
"Mar 25, 2009","7.7502","7.7495","7.7510","7.7451","0.00%"
"Mar 24, 2009","7.7501","7.7495","7.7507","7.7486","0.00%"
"Mar 23, 2009","7.7500","7.7497","7.7510","7.7486","-0.00%"
"Mar 20, 2009","7.7503","7.7502","7.7523","7.7490","-0.01%"
"Mar 19, 2009","7.7512","7.7515","7.7529","7.7500","-0.02%"
"Mar 18, 2009","7.7524","7.7517","7.7530","7.7508","0.00%"
"Mar 17, 2009","7.7523","7.7512","7.7531","7.7504","0.00%"
"Mar 16, 2009","7.7521","7.7520","7.7534","7.7507","-0.00%"
"Mar 13, 2009","7.7524","7.7530","7.7545","7.7515","-0.01%"
"Mar 12, 2009","7.7534","7.7545","7.7562","7.7520","-0.02%"
"Mar 11, 2009","7.7551","7.7550","7.7569","7.7540","-0.01%"
"Mar 10, 2009","7.7558","7.7552","7.7568","7.7543","0.00%"
"Mar 09, 2009","7.7558","7.7550","7.7567","7.7538","0.01%"
"Mar 06, 2009","7.7550","7.7565","7.7584","7.7540","-0.03%"
"Mar 05, 2009","7.7574","7.7585","7.7600","7.7560","-0.01%"
"Mar 04, 2009","7.7585","7.7580","7.7603","7.7564","0.00%"
"Mar 03, 2009","7.7585","7.7563","7.7595","7.7551","0.02%"
"Mar 02, 2009","7.7571","7.7545","7.7587","7.7536","0.03%"
"Feb 27, 2009","7.7550","7.7530","7.7557","7.7524","0.02%"
